anime_id,japanese_title,aired,image_url
27663,ベイビーステップ 第2シリーズ,"Apr 5, 2015 to Sep 20, 2015",https://cdn.myanimelist.net/images/anime/9/73683.jpg
29893,ARIA The AVVENIRE,"Sep 26, 2015",https://cdn.myanimelist.net/images/anime/10/74338.jpg
3371,銀河英雄伝説外伝／千億の星、千億の光,"Feb 9, 1998 to Sep 26, 1998",https://cdn.myanimelist.net/images/anime/9/28463.jpg
1430,ルパン三世 カリオストロの城,"Dec 15, 1979",https://cdn.myanimelist.net/images/anime/5/26182.jpg
1482,ディー・グレイマン,"Oct 3, 2006 to Sep 30, 2008",https://cdn.myanimelist.net/images/anime/13/75194.jpg
7720,おおきく振りかぶって　〜夏の大会編〜,"Apr 2, 2010 to Jun 25, 2010",https://cdn.myanimelist.net/images/anime/10/18671.jpg
25313,銀魂 〜布団に入ってから拭き残しに気付いて寝るに寝れない時もある〜,"Apr 3, 2015",https://cdn.myanimelist.net/images/anime/1327/110925.jpg
33051,機動戦士ガンダム 鉄血のオルフェンズ 第2期,"Oct 2, 2016 to Apr 2, 2017",https://cdn.myanimelist.net/images/anime/6/80899.jpg
1914,彩雲国物語 第2シリーズ,"Apr 7, 2007 to Mar 8, 2008",https://cdn.myanimelist.net/images/anime/5/73277.jpg
20371,劇場版 世界一初恋 横澤隆史の場合,"Mar 15, 2014",https://cdn.myanimelist.net/images/anime/11/65927.jpg
2164,電脳コイル,"May 12, 2007 to Dec 1, 2007",https://cdn.myanimelist.net/images/anime/5/12844.jpg
15039,劇場版 あの日見た花の名前を僕達はまだ知らない。,"Aug 31, 2013",https://cdn.myanimelist.net/images/anime/5/49993.jpg
135,ヒカルの碁,"Oct 10, 2001 to Mar 26, 2003",https://cdn.myanimelist.net/images/anime/12/78317.jpg
2449,攻殻機動隊 Stand Alone Complex - The Laughing Man,"Sep 23, 2005",https://cdn.myanimelist.net/images/anime/3/21835.jpg
6045,君に届け,"Oct 7, 2009 to Mar 31, 2010",https://cdn.myanimelist.net/images/anime/1502/124384.jpg
237,交響詩篇エウレカセブン,"Apr 17, 2005 to Apr 2, 2006",https://cdn.myanimelist.net/images/anime/12/34443.jpg
10643,アニメ銀魂　大反省会,"Mar 25, 2010",https://cdn.myanimelist.net/images/anime/1725/110927.jpg
17739,ひだまりスケッチ 沙英ヒロ 卒業編,"Nov 27, 2013",https://cdn.myanimelist.net/images/anime/1954/132952.jpg
6211,東京マグニチュード8.0,"Jul 10, 2009 to Sep 18, 2009",https://cdn.myanimelist.net/images/anime/10/13776.jpg
232,カードキャプターさくら,"Apr 7, 1998 to Mar 21, 2000",https://cdn.myanimelist.net/images/anime/8/60781.jpg
16001,ココロコネクト ミチランダム,"Nov 19, 2012 to Dec 10, 2012",https://cdn.myanimelist.net/images/anime/10/45526.jpg
16918,銀の匙,"Jul 12, 2013 to Sep 20, 2013",https://cdn.myanimelist.net/images/anime/6/49237.jpg
16,ハチミツとクローバー,"Apr 15, 2005 to Sep 27, 2005",https://cdn.myanimelist.net/images/anime/1301/133577.jpg
1486,こどものおもちゃ,"Apr 5, 1996 to Mar 27, 1998",https://cdn.myanimelist.net/images/anime/5/7016.jpg
